"","ages","Stimulating","Anxiety_producing","Calming","Love","Blissful","Energetic","Sociable","Charming","Bizarre","Intense","Difficult","Funny","Interesting","Visual","Spiritual","Enhanced_body_feeling","Bodily_discomfort","Enhanced_imagination","Rational","Irritating","Confusing","Fast_paced","Trivial","Long_lasting","Emotional","Constructive","Self_centered","Dangerous","Constructive","Erotic","Worth_it","Sneaky","Too_much","Sobering","Spaced_out","Colorful","Relieving","Insightful","Profound","Mystical","Incredible","Life_changing","Impairing","Subtle","Easy_to_overdoo","Hard_to_resist","Intellectual","Enhances_aesthetics","Digital","Artistic","Enjoyment_of_music","Delight_in_food","substance","times_taken","samples"
"33",22,2,0,0,1,1,1,0,-1,2,2,2,2,2,2,1,2,1,2,-2,0,2,0,0,2,2,2,-1,-2,0,1,2,2,0,-2,2,2,1,0,2,2,2,2,0,2,-2,-2,0,2,1,2,2,-2,"LSD",5,74
"34",24,1,1,0,-1,-1,0,-1,-1,0,0,0,0,0,-1,-1,-1,1,0,1,1,0,0,1,-1,0,0,1,1,0,0,-2,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,-1,0,0,0,-1,"Tobacco",6,7
"35",45,0,0,0,1,1,0,1,0,2,2,0,2,2,2,-1,2,1,2,-1,1,1,0,0,2,1,0,0,0,0,1,2,0,1,0,1,0,0,1,2,1,2,1,-1,0,2,1,2,2,0,1,2,2,"Psilocybin",4,39
"36",24,2,1,-2,2,2,2,0,0,0,2,2,1,2,2,1,2,0,2,1,-1,0,2,-2,2,2,1,0,-2,1,-1,2,0,1,-1,1,2,-1,2,2,1,2,2,0,-2,2,0,2,2,1,2,2,0,"LSD",5,74
"37",23,1,1,-1,2,0,1,-1,2,0,1,1,1,2,2,1,1,1,2,0,0,1,0,-1,0,0,0,1,0,1,0,2,0,0,0,0,1,0,1,1,0,1,0,0,-1,0,0,2,1,0,2,1,0,"LSD",4,74
"38",24,-1,-2,2,0,2,-2,-1,0,-2,2,-2,0,1,-2,-1,2,-2,1,-1,0,-1,-1,0,1,1,-1,2,2,-1,-1,-2,2,1,-2,2,-1,2,0,-1,-2,1,2,2,-2,2,2,0,2,0,0,2,-1,"Morphine",6,5
"39",25,1,-2,2,-2,2,-2,-2,0,1,2,2,-2,1,-2,-2,2,1,-2,-2,1,1,-2,0,1,-2,-2,2,2,-2,-2,-2,2,2,-2,2,-2,2,-2,2,-2,2,2,2,-2,2,2,-2,-2,-2,1,-1,-2,"Heroine",6,20
"40",21,0,0,0,0,1,2,1,0,2,2,1,2,2,2,1,1,1,2,1,-1,1,2,-1,1,0,2,1,2,1,1,2,1,0,-1,1,2,0,2,2,2,2,2,1,0,1,2,2,2,2,2,2,1,"LSD",3,74
"41",30,1,-1,1,1,1,0,2,1,2,2,-1,1,2,2,2,2,0,2,0,-1,1,0,0,1,1,0,-1,-2,0,0,2,-2,-2,-2,1,2,1,2,1,2,2,2,1,0,1,0,1,1,0,2,2,1,"Psilocybin",3,39
"42",26,1,-2,2,2,2,1,2,2,-2,0,-2,0,1,-2,-2,2,-2,0,1,-2,-2,1,-2,0,2,2,2,-2,2,2,2,-2,-2,-2,-2,0,2,2,2,0,2,2,-2,-2,-2,1,1,1,1,1,2,-1,"MDMA",5,45
